,Country,Paper,Website,Top,Articles
10,Azerbaijan,Aljazeera,https://www.aljazeera.com/where/azerbaijan,https://www.aljazeera.com/opinions/2021/2/11/the-key-to-lasting-peace-in-the-caucasus-is-reconciliation," The key to lasting peace in the Caucasus is reconciliation. After decades of conflict, sustainable peace between Armenia and Azerbaijan can only be achieved through civil societyled reconciliation. Sustainable peace is achieved not through meetings held in faraway capitals, but reconciliation between communities. As an Armenian and an Azerbaijani, we know that mistrust remains rife between our two nations. No political agreement on its own can convince two peoples divided by 30 years of conflict to trust each other and make peace. Armenian and Azerbaijani civil societies, however, can forge footholds upon which real peace can stand by launching initiatives that would bring the two communities together and allow them to understand each other. If what we strive for is lasting peace, this cannot be allowed to continue. Both Armenians and Azerbaijanis had their lives destroyed by this conflict, and they both have so much to gain from making peace. To do so, civil society should take steps to reconnect older Armenians and Azerbaijanis who once lived together in peace. What we should not do, however, is to attempt to convince the two communities to agree on a single version of history, for this is impossible."
11,Bahrain,Aljazeera,https://www.aljazeera.com/where/bahrain,https://www.aljazeera.com/news/2021/4/4/us-arab-nations-back-jordans-king-abdullah-amid-security-probe," US, Arab nations back Jordans King Abdullah amid security probe. The official denied that Prince Hamzah, the halfbrother of Jordans King Abdullah II, had been detained. Omancompletely stands byJordanunder the leadership of King Abdullah and firmly supports anything that preservesJordans security, sovereignty and stability, the Foreign Ministry said in a statement. The kingdom affirms its full support, with all its capabilities, to all decisions and measures taken by King Abdullah and His Highness Prince Al Hussein bin Abdullah II, the Crown Prince, to maintain security and stability, said a statement from the Saudi royal court. Egypt voiced its support for Jordans King Abdullah and his efforts to maintain the security and stability of the kingdom against any attempts to undermine it, the spokesman for Egypts presidency wrote on Facebook. Kuwaits foreign ministry expressed its support to all the measures taken by Jordans King Abdullah and his Crown Prince Al Hussein bin Abdullah II, to maintain the security and stability of the kingdom, adding that the security and stability of the kingdom are that of Kuwait. Yemen affirms its absolute support and totally stands with all decisions and measures taken by His Majesty King Abdullah aimed at maintaining security and ending any attempts to destabilise the sisterly Kingdom of Jordan. We support the decisions taken by King Abdullah II to preserve Jordans security and ensure its stability and unity. We support the steps taken by King Abdullah to maintain Jordanian national security, stressing that Jordans security and stability is a supreme Palestinian interest, he added. UAE affirms its total support to the sisterly Hashemite Kingdom of Jordan."
12,Bangladesh,Aljazeera,https://www.aljazeera.com/where/bangladesh,https://www.aljazeera.com/news/2021/4/6/bangladesh-protest-over-covid-curbs-turns-violent-three-shot,"Bangladesh protest over COVID curbs turns violent, three shot.  Demonstrators attack police station in rural Bangladesh, at least three people shot, say officials. A protest over police enforcement of coronavirus restrictions in rural Bangladesh turned violent when a mob of demonstrators attacked a police station, resulting in at least three people being shot, police and a doctor said. Police fired in selfdefence after they attacked the police station, a police spokesman in Faridpur district told AFP news agency. A second police official, Inspector NuraAlam Fakir, confirmed the incident. Two officers said supporters of the hardline group, HefazateIslam, joined the attack on the police station at Saltha. There was no immediate comment from Hefazat over police claims of their involvement in the incident in Saltha."
13,Barbados,LoopNews,http://www.loopnewsbarbados.com/,http://www.loopnewsbarbados.com//content/4-million-drug-bust-lands-four-hmp-dodds,". From Left Devon Spencer, Shirland Holder, Colis Paul and Michael Jones arriving at the District A Magistrate Court. A farmer, a fisherman, a painter and a carpenter were remanded to Her Majesty's Prison Dodds after a 4 million drug bust. Shirland Nathaniel Holder, 58 years of Rice St Lucy Devon Dexter Spencer, 29, Deane's Village, St Michael Colis Arlington Paul, 36 years of Ruimveldt Georgetown, Guyana and Michael Jones, 50 years of 76 Prince's Street Georgetown, Guyana appeared at the District A Magistrate Court today April 6 before Magistrate Manila Renee. The quarter represented by attorneyatlaw Samuel Legay, were charged with possession of unlawful substances that being cannabis and cocaine, trafficking of these unlawful substances and intent to supply on March 28, 2021. They were not required to plea. The marijuana and cocaine were seized during a joint operation with the Barbados Coast Guard, Royal Barbados Police Force and the Regional Security System. The case has been adjourned until May 4, 2021 and will be held via Zoom. Get the latest local and international news straight to your mobile phone for free     View the discussion thread. Copyright 2017 BY Trend Media  ALL RIGHTS RESERVED"
14,Belarus,Euronews,https://www.euronews.com/tag/belarus,https://www.euronews.com//2021/04/05/meet-belarus-most-notorious-punk-who-faces-hard-labour-sentence-after-semi-naked-dance-pro,"    Belarus punk rocker faces 1.  Belarus punk rocker faces 1.5 years hard labour for seminaked dance protest. Belarus . Dressed in nothing but a hot pink bodysuit, hat and thong, Igor Bancer gripped the bonnet of the stationary police van in Grodno, Belarus, to the cheers of a gathering crowd. He and his friends debated how to respond as the police crackdown worsened. Ultimately, they would end up showing their behinds to the police as they ran, he said, showing their asses. I thought to myself Wow, its a nice idea. Showing my ass to the police. Mister X has played in Belarus too, but rarely, and with heavy restrictions. Because of his activism, Bancer is no stranger to the inside of Belarus jails but has previously been held for days rather than months and on minor charges, such as swearing at the police. The fact that the regime is being so heavyhanded in its response to his performance demonstrates to Bancer how much has changed in Belarus since the election of August 9."
15,Belgium,Euronews,https://www.euronews.com/tag/belgium,https://www.euronews.com//2021/04/03/brussels-palais-de-justice-will-finally-get-a-facelift-after-40-years-trapped-behind-scaff,"    Brussels' Palais de Justice will finally get a facelift after 40 years trapped behind scaffolding.  Brussels' Palais de Justice will finally get a facelift after 40 years trapped behind scaffolding. The Brussels Palais de Justice has been a prisoner of its scaffolding for nearly 40 years. It 'honestly cannot remain in this state,' she says. 'When we installed this scaffolding in 1984, it was to do work that was never done. And so that's what's actually a bit annoying in my position, I admit,' says Mathieu Michel, Secretary of State for building renovation. 'So the first thing to do is to reinforce the scaffolding to be able to carry out the work that was planned in 1984.' 'And you can imagine that if they were planned in 1984, they are all the more indispensable today,' says Mathieu Michel, Secretary of State for building renovation.'"
16,Belize,Aljazeera,https://www.aljazeera.com/where/belize,https://www.aljazeera.com/news/2021/3/23/belize-national-team-held-by-gunmen-in-haiti," Belize national football team briefly held by gunmen in Haiti. The team visiting for a World Cup 2022 qualifier have now safely reached their hotel, the countrys football federation said. Belizes national football team, which is currently visiting Haiti for a World Cup 2022 qualifier, was briefly held up by armed gang in the capital PortAuPrince on Monday, the countrys football federation says. The central American countrys team, known as the Jaguars, were headed to their hotel from the airport when they were stopped by the armed gang, the Football Federation of Belize FFB said on Facebook."
17,Benin,Aljazeera,https://www.aljazeera.com/where/benin,https://www.aljazeera.com/gallery/2020/8/12/in-pictures-benin-restores-slavery-monuments," In Pictures Benin restores slavery monuments. In Pictures As Western cities see statues of slaveholders and colonialists toppled, Benins coastal town of Ouidah is going the other way, restoring monuments of the painful era of the slave trade. Ouidah, 40km 25 miles from Benins economic hub of Cotonou, was one of the main slave staging posts to the Americas, according to Yale University research. The renovation of the Ouidah fort and the history museum inside it is part of Benins drive to ensure that future generations of Africans know their ancestors suffering. But its our history. We must accept it and tell it to future generations, said Daounde, a UN official who returned to Benin on holiday from his posting in Cameroon. Daounde is one of a stream of other Beninese, Ouidah residents, and historians who have visited the temporary exhibition since it opened on August 3. The renovation of these places will better illustrate the course of history to pass on to future generations."
18,Bolivia,Reuters,https://www.reuters.com/news/archive/bolivia,https://www.reuters.com//article/us-bolivia-politics-anez/in-emotional-letter-from-jail-bolivian-ex-president-anez-alleges-abuse-idUSKBN2BF323," In emotional letter from jail, Bolivian expresident Anez alleges 'abuse'. The letter is the latest twist in a political saga that began when longtime leftist former President Evo Morales was ousted from power in 2019 after a disputed election. Prosecutors accuse Anez of illegitimately seizing power after Morales resigned following the 2019 election that he won, but which international observers said was fraudulent and which triggered violent protests. ARMED TO THE TEETH Anez said in her letter that more than 100 police officers had arrived at her home in the city of Trinidad to detain her armed to the teeth. The incident had left young members of her family in a state of shock, she said. The 53yearold, who family members say suffers from hypertension, said the state was jeopardizing her health. He said Anez was depressed. The whole weight of the state is against her and that would affect anyone, he said."
19,Bosnia and Herzegovina,Aljazeera,https://www.aljazeera.com/where/bosnia-and-herzegovina,, 
20,Botswana,Aljazeera,https://www.aljazeera.com/where/botswana,https://www.aljazeera.com/news/2020/9/21/botswana-authorities-identify-cause-of-mysterious-elephant-deaths," Botswana authorities identify cause of mysterious elephant deaths. Officials say toxins produced by cyanobacteria in water were behind the death of more than 300 mammals. Officials in Botswana say the deaths of hundreds of elephants in recent months which baffled and alarmed conservationists in the country were caused by toxins produced by cyanobacteria in water. Botswana has the worlds largest elephant population, estimated at 130,000."
21,Brazil,O Estadão ,https://www.reuters.com/places/brazil,https://www.reuters.com//article/us-brazil-airports-privatization/brazil-raises-600-million-in-privatization-auction-of-22-airports-idUSKBN2BU2NK," Brazil raises 600 million in privatization auction of 22 airports. We had an extraordinary result in this auction, despite the fact that the COVID pandemic strongly affected all airports, said Brazils Infrastructure Minister Tarcisio de Freitas after the auction ended. The auction raised a similar amount of money as a previous airport auction in 2019, when the auction of a single group of airports in Brazils northeast raised 500 million."
22,Brunei,Aljazeera,https://www.aljazeera.com/where/brunei,https://www.aljazeera.com/news/2021/3/22/singapores-balakrishnan-to-visit-brunei-malaysia," Singapores Balakrishnan on regional tour amid Myanmar crisis. Foreign ministers visit to Brunei, Malaysia and Indonesia comes amid continuing unrest in Myanmar following the February 1 coup. Singapore Foreign Minister Vivian Balakrishnan will visit Brunei on Monday, after which he will go to Malaysia and Indonesia, the foreign affairs ministry said, amid calls for Southeast Asian leaders to hold a summit on Myanmars political crisis. Its time the courageous people of Myanmar feel that there is somebody out there to protect them. Myanmars military leaders are deploying forces, both armed and digital, to stifle news coverage. Marty Natalegawa says ASEAN must tell Myanmars military to stop shooting at innocent civilians."
23,Bulgaria,Euronews,https://www.euronews.com/tag/bulgaria,https://www.euronews.com//2021/04/07/hurdles-ahead-for-borissov-despite-victory-in-bulgaria-s-election,"    Hurdles ahead for Borissov despite victory in Bulgaria's election. brussels bureau . Despite his party emerging victorious from Bulgaria's election on Sunday, plenty of hurdles lie ahead for Boyko Borissov, an expert has told Euronews. Borissov, the country's outgoing prime minister, saw his GERB party gain 26 per cent of the popular vote. But it's down from the 33 per cent vote share his party gained in 2017. That could make forming the next government trickier. On top of that, the newly established European Public Prosecutors Office is likely to launch a series of probes into corruption in the country, according to Professor Antoaneta Dimitrova, an expert in eastern European politics from Leiden University. Find out more by watching the video, above. ."
24,Burkina Faso,Aljazeera,https://www.aljazeera.com/where/burkina-faso,https://www.aljazeera.com/features/2021/3/1/shunned-and-banished-victims-blamed-for-incest-in-burkina-faso,"Shunned and banished Victims blamed for incest in Burkina Faso.  Raped, ostracised and forced to give up their children how incest is tearing families apart in Burkina Faso. Unassuming but wellkept, the orphanage where Pauline is staying has 60 children, 13 of whom were conceived as a result of incest. While the older ones play outside in the compounds dirt courtyard, the babies are tended to by a rotational staff of more than a dozen women who cook and help breastfeed. When Pauline found out she was pregnant, she knew she would have to leave town and give her son up to an orphanage Sam MednickAl Jazeera Across the country predominantly among the Mossi, Burkina Fasos largest ethnic group girls or women who have babies from incest are banished from the family, forced to give up their children and beg for forgiveness from society if they hope to return. Such rituals around the women and children tainted by incest have been ongoing for decades. Three children of incest were already reported in January this year. One orphanage in Yako received 10 children from incest in the last two years, compared with one or two children in previous years, said the manager who was not authorised to speak on the record. In an orphanage in TemaBokin, a village some 45 kilometres 28 miles from Yako, nearly half of the 21 children living there were conceived as a result of incest. Children and carers at an orphanage in TemaBokin, a village near Yako Sam MednickAl Jazeera In January, authorities in Passore told Al Jazeera reported cases were increasing and they were struggling to control it. Neither the government, community leaders nor affected families had answers for why incest was occurring."
25,Burma,Aljazeera,https://www.aljazeera.com/where/myanmar/,https://www.aljazeera.com/news/2021/4/7/myanmar-military-may-extend-emergency-rule-by-up-to-two-years," Myanmar military may extend emergency rule by up to two years. On military guided press tour, army spokesman refuses to provide timeline for a new election, says Myanmars state of emergency could be extended by up to two years. This story was produced in partnership with the Pulitzer Center. Naypyidaw Yangon, Myanmar Since launching their February 1 military coup, Myanmars generals have largely stayed out of the limelight, secluded in the countrys ghost town capital of Naypyidaw. Until now, reporters from outside Myanmar have also been strictly kept out. During an hourlong conversation with the Globe on April 4, Brigadier General Zaw Min Tun never wavered from the militarys message of righteousness in overthrowing the countrys civilian government and in using violence to consolidate power in the two months since. He refused to give an exact estimate of when the military, also known as the Tatmadaw, would allow Myanmar to return to some form of civilian rule. He walked back the initial timeline of one year, suggesting the military could extend its ongoing state of emergency order for as long as two years. Major General Zaw Min Tun speaks to the foreign press tour in Naypyidaw, Myanmar April 4, 2021 Allegra Mendelson Southeast Asia Globe Al Jazeera In an attempt to justify the power grab as well as the violence used against civilians, Senior General Min Aung Hlaing, the armys commanderinchief and Myanmars defacto ruler, has repeatedly cited claims of election fraud in last years November 8 elections. If we find that she did bad things she will be punished, Zaw Min Tun said."
26,Burundi,Aljazeera,https://www.aljazeera.com/where/burundi,https://www.aljazeera.com/features/2021/2/3/the-children-colonial-belgium-stole-from-africa," The children colonial Belgium stole from African mothers. She was four, the child of a Black Congolese woman and a white Belgian colonial agent. When the time came to leave, her mother was not there to say goodbye. But her own family was gone. Its a catastrophe, says Evariste Nikolakis, 74, who is Mtis. When this kind of love is taken away from children, theyre going to carry that scar for the rest of their life, Monique says. The Catholic Church in Belgium has also apologised. Nothing has changed, say Mtis. The older Monique wears thinframed rectangular glasses, a black hoodie and her fingernails are painted a dark blue. At the Catholic mission, the girls heard daily that they were the children of sin."
27,Cabo Verde,Aljazeera,https://www.euronews.com/news/africa/capeverde,https://www.euronews.com//2020/02/12/mayra-andrade-puts-the-spotlight-on-cape-verdean-music,"    Mayra Andrade puts the spotlight on Cape Verdean music.  Mayra Andrade puts the spotlight on Cape Verdean music. Cape Verde is currently at the spotlight of the world music scene and Mayra Andrade is one of the new great crioulo voices. 'The idea was neither to make traditional Cape Verdean music nor afrobeat but to find something in the middle that could be my own sound. I'm super happy,' says Andrade. Born in Cuba, Cape Verdean by heart and family, Mayra Andrade has been a globe trotter since she was six years old. 'I have lived in Cape Verde at different times in my life. 'What I hope to be able to do, if not as much as she did, is the best I can for Cape Verdean culture, African culture and world culture in music. Invited by a common friend, Mayra watched one of Madonna's Lisbon shows and says she felt proud 'Madonna has always been a big fan of Cesria vora and Dino d'Santiago gave Madonna a great opportunity to dive into Cape Verdean music through the Cape Verdean community of Lisbon.' 'That presence of the 'batukadeiras' Cape Verdean female drummers in Madonna's show, to me, is the most beautiful part of it.'"
28,Cambodia,Aljazeera,https://www.aljazeera.com/where/cambodia,https://www.aljazeera.com/opinions/2021/4/5/chinas-vaccine-diplomacy-stumbles-in-southeast-asia," Chinas vaccine diplomacy stumbles in Southeast Asia. Delays and concerns about the efficacy and politics of Chinas vaccine shipments plague its vaccine drive in the region. Despite big funds and high hopes invested in the Chinese vaccine drive, it has not been the major success it was expected to be, at least in Southeast Asia. Last year, trials of Chinese vaccines were launched in 18 countries in Asia, Africa and Latin America. Now, Chinese COVID19 vaccines are set to increase the countrys global market share and, according to some estimates, bring more than 10bn in sales. As China rolled out its vaccines, Indonesia, the de facto leader of the Association of Southeast Asian Nations ASEAN, was among the first to receive the Sinovac vaccine. Chinese vaccine makers like their Western counterparts have suffered serious production delays and lack of capacity. An even greater source of concern is the efficacy of Chinese vaccines. It is quite telling that even the staunchly proBeijing Philippine president and his health secretary have not taken a Chinese vaccine. Meanwhile, a recent investigation by the Philippines Senate revealed that the country may be paying more for Chinese vaccines than some of its neighbours."
29,Cameroon,Aljazeera,https://www.aljazeera.com/where/cameroon,https://www.aljazeera.com/news/2021/4/1/violence-in-cameroon-anglophone-crisis-takes-high-civilian-toll," Violence in Cameroons Anglophone crisis takes high civilian toll. Experts warn country on verge of backsliding to fragile state status, as conflict between Anglophone separatists and government forces increasingly affecting civilians. These attacks are the latest escalation in the nearly fiveyear conflict between government security forces and armed separatists which has displaced more than 700,000 civilians and forced another 63,800 across the border to Nigeria, according to a United Nations report this week. Separatists are known locally as the boys and consider themselves restorationists or freedom fighters. However, during the past year, the number of clashes between separatist groups and security forces has declined while there has been an uptick in attacks against civilians, according to data collated by the United Nations and the Armed Conflict Location and Event Data ACLED Project. Separatist groups, in particular, have intensified targeted attacks against civilians and aid workers, Njomo said. On February 13, suspected separatists killed three traditional village leaders and kidnapped 30 civilians. At least 10 government security personnel have been killed and four civilians wounded in these attacks. Fombat Forbah Dieudonne, a spokesperson for the Ambazonia Restoration Forces, a separatist group linked to the interim government, denied that any groups involved in the separatist movement have carried out abductions or killed civilians. Of those attacks, 30 were carried out by separatist groups resulting in 10 civilian deaths and 67 abductions."
30,Canada,Aljazeera,https://www.reuters.com/places/canada,https://www.reuters.com//article/us-saudi-aramco-pipeline-stakesale/brookfield-blackrock-no-longer-in-race-for-over-10-billion-aramco-pipeline-stake-sources-idUSKBN2BT0Z6,"Brookfield, BlackRock no longer in race for over 10 billion Aramco pipeline stake  sources. Apollo Global Management and New Yorkbased Global Infrastructure Partners GIP are among the bidders still in the race for the deal, which could fetch Aramco over 10 billion, they said. Aramco, Apollo and Brookfield declined to comment. Bloomberg earlier reported the news about BlackRock and Brookfield Asset being no longer in the race. Aramco, which is looking to sell as much as 49 stake, is preparing a socalled staple financing for its bidders  a financing package provided by the seller that buyers can use to back their purchase. The planned pipeline deal would be similar to infrastructure deals signed over the last two years by Abu Dhabis National Oil Co ADNOC, which raised billions of dollars through saleand leaseback deals of its oil and gas pipeline assets, sources have previously said. Aramco, the worlds largest oil exporter, reported last month its net profit fell 44.4 to 183.8 billion riyals 49.01 billion for the year ended Dec. 31 as the COVID19 pandemic depressed global crude demand. However, it maintained its pledge to declare a 75 billion dividend for 2020, most of which goes to the Saudi government. All quotes delayed a minimum of 15 minutes. See  here for a complete list  of exchanges and delays."
31,Central African Republic,Aljazeera,https://www.aljazeera.com/where/central-african-republic,https://www.aljazeera.com/news/2021/4/2/car-militia-leader-sidiki-abass-dies-from-injuries-armed-group," CAR militia leader Sidiki Abass dies from injuries Armed group. The leader of the 3R armed group died on March 25 at a health centre in Kambakota, his group said in a statement. A Central African Republic militia leader blacklisted by the United States and the United Nations for human rights abuses including rape and torture has died from injuries he sustained in November, his armed group said on Friday. Sidiki Abass, leader of the Return, Reclamation, Rehabilitation or 3R armed group, died on March 25 at a health centre in Kambakota, around 320km 199 miles north of the capital, Bangui, according to a statement signed by General Bobbo, who described himself as the new leader of the group. In December, 3R joined with the Coalition of Patriots for Change, an alliance of some of the wartorn countrys most powerful armed groups. The UN also accused Abass of participating directly in torture. Security forces in CAR repel two attacks by armed groups seeking to seize the capital Bangui on Wednesday, PM says."
32,Chad,Aljazeera,https://www.aljazeera.com/where/chad,https://www.aljazeera.com/news/2021/4/3/rights-group-accuses-chadian-soldiers-of-raping-women-in-niger," Niger body urges independent probe into rapes by Chadian troops. Human rights commission calls for inquiry after allegations soldiers deployed to help fight armed groups raped several women, as well as an 11yearold girl. Nigers human rights commission has called for an independent inquiry following alleged rapes, including that of an 11year old girl, by Chadian soldiers deployed in the country to help fight armed groups. On Saturday, Chad said the accused soldiers have been arrested and will face punishment."
33,Chile,Euronews,https://www.euronews.com/tag/chile,https://www.euronews.com//2021/02/07/chile-police-shooting-of-street-artist-sparks-violent-protests,"    Chile Police shooting of street artist sparks violent protests.  Chile Police shooting of street artist sparks violent protests. The fatal shooting of a street artist in Chile led to protesters clashing with police in the capital Santiago over the weekend. He was shot in a dispute after refusing to cooperate with a police search. In Santiago, protesters pelted police with various objects and were met with water cannon in response."
